"Your %social account is now Linked with your account","Your %social account is now Linked with your account"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account."
"You attempted to do a forbidden action!.","You attempted to do a forbidden action!."
"New Customers","New Customers"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Creating an account has many benefits: check out faster, keep more than one address, track orders and more."
"Create an Account","Create an Account"
"Register with Facebook","Register with Facebook"
"Register with Google","Register with Google"
"Login or Register with Facebook","Login or Register with Facebook"
"Login or Register with Google","Login or Register with Google"
"Social Login","Social Login"
General,General
Enabled,Enabled
Facebook,Facebook
"App ID","App ID"
"App Secret","App Secret"
Google,Google
"Api Key","Api Key"
"Client Id","Client Id"
